date,ticker,event,yes_team,winner,close_bid,close_ask,close_mid,volume,open_interest,result,settled_ts
2025-04-16,KXMLBGAME-25APR16AZMIA-MIA,KXMLBGAME-25APR16AZMIA,Miami,Arizona,42,44,0.43,20.00,41.00,no,1744840697
2025-04-16,KXMLBGAME-25APR16LAATEX-LAA,KXMLBGAME-25APR16LAATEX,Los Angeles A,Texas,53,54,0.535,122.00,318.00,no,1744845134
2025-04-16,KXMLBGAME-25APR16KCNYY-NYY,KXMLBGAME-25APR16KCNYY,New York Y,New York Y,58,59,0.585,179.00,650.00,yes,1744841655
2025-04-16,KXMLBGAME-25APR16SEACIN-SEA,KXMLBGAME-25APR16SEACIN,Seattle,Seattle,49,52,0.505,185.00,448.00,yes,1744841174
2025-04-16,KXMLBGAME-25APR16DETMIL-MIL,KXMLBGAME-25APR16DETMIL,Milwaukee,Milwaukee,56,59,0.575,0.00,0.00,yes,1744822936
2025-04-16,KXMLBGAME-25APR16WSHPIT-WSH,KXMLBGAME-25APR16WSHPIT,Washington,Pittsburgh,47,49,0.48,9.00,37.00,no,1744839625
2025-04-16,KXMLBGAME-25APR16BOSTB-TB,KXMLBGAME-25APR16BOSTB,Tampa Bay,Boston,53,55,0.54,28.00,66.00,no,1744841467
2025-04-16,KXMLBGAME-25APR16CHCSD-SD,KXMLBGAME-25APR16CHCSD,San Diego,San Diego,50,54,0.52,782.00,1590.00,yes,1744831693
2025-04-16,KXMLBGAME-25APR16ATLTOR-ATL,KXMLBGAME-25APR16ATLTOR,Atlanta,Toronto,53,57,0.55,625.00,625.00,no,1744821246
2025-04-16,KXMLBGAME-25APR16HOUSTL-STL,KXMLBGAME-25APR16HOUSTL,St. Louis,St. Louis,48,52,0.5,0.00,0.00,yes,1744822935
2025-04-16,KXMLBGAME-25APR16SFPHI-SF,KXMLBGAME-25APR16SFPHI,San Francisco,San Francisco,40,44,0.42,14.00,316.00,yes,1744842789
2025-04-16,KXMLBGAME-25APR16CLEBAL-CLE,KXMLBGAME-25APR16CLEBAL,Cleveland,Baltimore,45,47,0.46,40.00,661.00,no,1744841175
2025-04-16,KXMLBGAME-25APR16ATHCWS-CWS,KXMLBGAME-25APR16ATHCWS,Chicago WS,A's,40,41,0.405,100.00,135.00,no,1744844654
2025-04-16,KXMLBGAME-25APR16NYMMIN-NYM,KXMLBGAME-25APR16NYMMIN,New York M,Minnesota,46,48,0.47,272.00,272.00,no,1744822936
2025-04-17,KXMLBGAME-25APR17LAATEX-LAA,KXMLBGAME-25APR17LAATEX,Los Angeles A,Texas,34,38,0.36,100.00,177.00,no,1744931052
2025-04-17,KXMLBGAME-25APR17SEACIN-SEA,KXMLBGAME-25APR17SEACIN,Seattle,Seattle,45,46,0.455,255.00,181.00,yes,1744908499
2025-04-17,KXMLBGAME-25APR17KCDET-KC,KXMLBGAME-25APR17KCDET,Kansas City,Detroit,42,43,0.425,434.00,1101.00,no,1744927578
2025-04-17,KXMLBGAME-25APR17CLEBAL-CLE,KXMLBGAME-25APR17CLEBAL,Cleveland,Baltimore,45,46,0.455,66.00,1482.00,no,1744926022
2025-04-17,KXMLBGAME-25APR17STLNYM-STL,KXMLBGAME-25APR17STLNYM,St. Louis,New York M,43,44,0.435,15.00,499.00,no,1744928534
2025-04-17,KXMLBGAME-25APR17NYYTB-TB,KXMLBGAME-25APR17NYYTB,Tampa Bay,New York Y,49,50,0.495,724.00,1278.00,no,1744929197
2025-04-17,KXMLBGAME-25APR17WSHPIT-WSH,KXMLBGAME-25APR17WSHPIT,Washington,Pittsburgh,43,45,0.44,3.00,4.00,no,1744904146
2025-04-17,KXMLBGAME-25APR17ATHCWS-CWS,KXMLBGAME-25APR17ATHCWS,Chicago WS,A's,44,45,0.445,0.00,298.00,no,1744911317
2025-04-17,KXMLBGAME-25APR17SFPHI-SF,KXMLBGAME-25APR17SFPHI,San Francisco,Philadelphia,34,36,0.35,2798.00,3040.00,no,1744919591
2025-04-17,KXMLBGAME-25APR17AZMIA-MIA,KXMLBGAME-25APR17AZMIA,Miami,Arizona,42,43,0.425,428.00,3014.00,no,1744906454
2025-04-17,KXMLBGAME-25APR16COLLAD-COL,KXMLBGAME-25APR16COLLAD,Colorado,Los Angeles D,26,28,0.27,3.00,11.00,no,1744854254
2025-04-18,KXMLBGAME-25APR18MINATL2-MIN,KXMLBGAME-25APR18MINATL2,Minnesota,Atlanta,42,43,0.425,0.00,42.00,no,1745018472
2025-04-18,KXMLBGAME-25APR18MIAPHI2-PHI,KXMLBGAME-25APR18MIAPHI2,Philadelphia,Philadelphia,83,87,0.85,648.00,6869.00,yes,1745018471
2025-04-18,KXMLBGAME-25APR18SEATOR2-TOR,KXMLBGAME-25APR18SEATOR2,Toronto,Toronto,52,53,0.525,3802.00,4100.00,yes,1745018477
2025-04-18,KXMLBGAME-25APR18CLEPIT2-PIT,KXMLBGAME-25APR18CLEPIT2,Pittsburgh,Cleveland,54,61,0.575,268.00,536.00,no,1745018479
2025-04-18,KXMLBGAME-25APR18CINBAL2-CIN,KXMLBGAME-25APR18CINBAL2,Cincinnati,Cincinnati,38,43,0.405,408.00,1067.00,yes,1745018473
2025-04-18,KXMLBGAME-25APR18KCDET2-KC,KXMLBGAME-25APR18KCDET2,Kansas City,Detroit,65,69,0.67,1855.00,4646.00,no,1745018473
2025-04-18,KXMLBGAME-25APR18ATHMIL2-ATH,KXMLBGAME-25APR18ATHMIL2,A's,Milwaukee,39,40,0.395,11.00,54.00,no,1745020228
2025-04-18,KXMLBGAME-25APR18CWSBOS2-CWS,KXMLBGAME-25APR18CWSBOS2,Chicago WS,Boston,33,34,0.335,0.00,139.00,no,1745014221
2025-04-18,KXMLBGAME-25APR18AZCHC2-CHC,KXMLBGAME-25APR18AZCHC2,Chicago C,Chicago C,50,52,0.51,2471.00,5501.00,yes,1744999939
2025-04-18,KXMLBGAME-25APR18NYYTB2-NYY,KXMLBGAME-25APR18NYYTB2,New York Y,New York Y,52,54,0.53,672.00,1518.00,yes,1745018475
2025-04-18,KXMLBGAME-25APR18LADTEX2-TEX,KXMLBGAME-25APR18LADTEX2,Texas,Los Angeles D,46,50,0.48,4913.00,5128.00,no,1745018476
2025-04-18,KXMLBGAME-25APR18SDHOU2-SD,KXMLBGAME-25APR18SDHOU2,San Diego,Houston,39,40,0.395,320.00,1667.00,no,1745018474
2025-04-18,KXMLBGAME-25APR18STLNYM2-STL,KXMLBGAME-25APR18STLNYM2,St. Louis,New York M,35,36,0.355,0.00,39.00,no,1745018478
2025-04-19,KXMLBGAME-25APR19LADTEX-LAD,KXMLBGAME-25APR19LADTEX,Los Angeles D,Texas,46,50,0.48,508.00,2007.00,no,1745090060
2025-04-19,KXMLBGAME-25APR19SEATOR-TOR,KXMLBGAME-25APR19SEATOR,Toronto,Seattle,46,49,0.475,614.00,972.00,no,1745091626
