game_pk,date,home,away,home_score,away_score,home_sp,away_sp,status
823244,20260325,SFN,NYA,0,7,657277,608331,F
823649,20260326,NYN,PIT,11,7,642547,694973,F
823812,20260326,MIL,CHA,14,2,694819,681343,F
824704,20260326,CHN,WAS,4,10,571510,676917,F
824865,20260326,BAL,MIN,2,1,669432,657746,F
824541,20260326,CIN,BOS,0,3,671096,676979,F
824218,20260326,HOU,ANA,0,3,686613,667755,F
823325,20260326,SDN,DET,2,8,601713,669373,F
823081,20260326,SLN,TBA,9,7,669461,656876,F
823486,20260326,PHI,TEX,5,3,650911,543135,F
823974,20260326,LAN,ARI,8,2,808967,668678,F
823163,20260326,SEA,CLE,4,6,669302,676440,F
823243,20260327,SFN,NYA,0,3,592662,693645,F
822839,20260327,TOR,ATH,3,2,592332,622663,F
823893,20260327,MIA,COL,2,1,645261,607536,F
824946,20260327,ATL,KCA,6,0,519242,666142,F
824216,20260327,HOU,ANA,2,6,681347,579328,F
823324,20260327,SDN,DET,2,5,650633,664285,F
823162,20260327,SEA,CLE,5,1,669923,668909,F
823971,20260327,LAN,ARI,5,4,686218,669194,F
823082,20260328,SLN,TBA,6,5,700241,671212,F
824701,20260328,CHN,WAS,10,2,690990,571945,F
822838,20260328,TOR,ATH,8,7,656302,605488,F
824862,20260328,BAL,MIN,1,4,680694,671737,F
823488,20260328,PHI,TEX,4,5,605400,656641,F
824540,20260328,CIN,BOS,6,5,663903,543243,F
823651,20260328,NYN,PIT,4,2,656849,656605,F
823892,20260328,MIA,COL,4,3,691587,547179,F
824213,20260328,HOU,ANA,11,9,664299,672282,F
823811,20260328,MIL,CHA,6,1,694477,680732,F
824945,20260328,ATL,KCA,6,2,625643,608379,F
823241,20260328,SFN,NYA,1,3,641816,701542,F
823323,20260328,SDN,DET,3,0,681190,656427,F
823973,20260328,LAN,ARI,3,2,607192,593958,F
823161,20260328,SEA,CLE,5,6,693433,676282,F
824864,20260329,BAL,MIN,8,6,669358,641927,F
823487,20260329,PHI,TEX,3,8,666200,669022,F
824944,20260329,ATL,KCA,1,4,656550,607625,F
822837,20260329,TOR,ATH,5,2,641778,806960,F
824538,20260329,CIN,BOS,3,2,695076,813349,F
823647,20260329,NYN,PIT,3,4,690997,669387,F
823891,20260329,MIA,COL,4,3,676974,500779,F
824215,20260329,HOU,ANA,9,7,837227,686799,F
823810,20260329,MIL,CHA,9,7,687075,641743,F
823079,20260329,SLN,TBA,7,11,669160,571927,F
824700,20260329,CHN,WAS,3,6,684007,663623,F
823160,20260329,SEA,CLE,8,0,676106,677944,F
824135,20260330,KCA,MIN,3,1,663460,680573,F
824863,20260330,BAL,TEX,2,5,605135,683004,F
824539,20260330,CIN,PIT,2,0,695505,677952,F
823484,20260330,PHI,WAS,2,13,592836,656492,F
823890,20260330,MIA,CHA,4,9,663978,663436,F
822834,20260330,TOR,COL,5,14,664074,608372,F
824943,20260330,ATL,ATH,4,0,693821,682052,F
824702,20260330,CHN,ANA,7,2,665795,696270,F
823809,20260330,MIL,TBA,2,3,690986,607259,F
823080,20260330,SLN,NYN,2,4,681517,605280,F
824214,20260330,HOU,BOS,8,1,621121,624133,F
823320,20260330,SDN,SFN,2,3,621111,694738,F
823159,20260330,SEA,NYA,2,1,622491,677960,F
825108,20260330,ARI,DET,9,6,647336,434378,F
823972,20260330,LAN,CLE,2,4,808963,800048,F
824861,20260331,BAL,TEX,5,8,621107,594798,F
824537,20260331,CIN,PIT,3,8,682227,696149,F
823485,20260331,PHI,WAS,3,2,691725,676571,F
823888,20260331,MIA,CHA,9,2,676083,607200,F
822836,20260331,TOR,COL,5,1,453286,663372,F
824942,20260331,ATL,ATH,2,5,660761,650644,F
824699,20260331,CHN,ANA,0,2,592791,667755,F
823807,20260331,MIL,TBA,6,2,605540,663556,F
823077,20260331,SLN,NYN,3,0,669467,673540,F
824212,20260331,HOU,BOS,9,2,686613,678394,F
825107,20260331,ARI,DET,7,5,694297,663554,F
823322,20260331,SDN,SFN,3,9,608566,657277,F
823158,20260331,SEA,NYA,0,5,669302,608331,F
823969,20260331,LAN,CLE,4,1,660271,676440,F
824940,20260401,ATL,ATH,5,1,519242,622663,F
824860,20260401,BAL,TEX,8,3,669432,543135,F
824536,20260401,CIN,PIT,3,8,671096,694973,F
823483,20260401,PHI,WAS,6,5,650911,676917,F
822835,20260401,TOR,COL,1,2,592332,607536,F
823889,20260401,MIA,CHA,10,0,645261,681343,F
823078,20260401,SLN,NYN,2,1,669461,642547,F
823806,20260401,MIL,TBA,8,2,694819,656876,F
824211,20260401,HOU,BOS,6,4,681347,676979,F
824698,20260401,CHN,ANA,6,2,571510,579328,F
825106,20260401,ARI,DET,1,0,668678,669373,F
823321,20260401,SDN,SFN,7,1,601713,605288,F
823157,20260401,SEA,NYA,3,5,669923,693645,F
824136,20260401,KCA,MIN,13,9,702070,657746,F
823970,20260401,LAN,CLE,1,4,808967,668909,F
824133,20260402,KCA,MIN,1,5,666142,671737,F
825105,20260402,ARI,ATL,2,17,669194,625643,F
823242,20260402,SFN,NYN,7,2,592662,656849,F
824621,20260403,CHA,TOR,,,691799,656302,F
822758,20260403,WAS,LAN,6,13,571945,686218,F
824299,20260403,DET,SLN,4,0,664285,700241,F
823568,20260403,NYA,MIA,8,2,701542,691587,F
824786,20260403,BOS,SDN,5,2,543243,650633,F
824621,20260403,CHA,TOR,5,4,691799,656302,F
822919,20260403,TEX,CIN,3,5,669022,663903,F
824458,20260403,CLE,CHN,4,1,676282,690990,F
823732,20260403,MIN,TBA,10,4,641927,671212,F
824377,20260403,COL,PHI,1,10,547179,605400,F
823406,20260403,PIT,BAL,5,4,656605,680694,F
824056,20260403,ANA,SEA,1,3,672282,693433,F
825026,20260403,ATH,HOU,11,4,605488,664299,F
825103,20260403,ARI,ATL,0,2,593958,656550,F
823240,20260403,SFN,NYN,3,10,641816,690997,F
824134,20260404,KCA,MIL,,,607625,701656,F
824295,20260404,DET,SLN,11,6,656427,669160,F
824622,20260404,CHA,TOR,6,3,691799,689254,F
824132,20260404,KCA,MIL,2,5,679883,694477,F
824134,20260404,KCA,MIL,8,2,607625,701656,F
822757,20260404,WAS,LAN,5,10,663623,607192,F
